country,model,horizon,RMSE,MAE
ALL,ARIMA,1,0.6362923908913557,0.2883419990539551
ALL,LSTM,1,2.4988394904701865,2.274087429046631
,QTFT,1,1.1705151615456346,0.8171985745429993
,TFT,1,2.891058647001619,2.07731294631958
ALL,ARIMA,4,2.812471262467115,1.5546562671661377
ALL,LSTM,4,2.3084653763813345,2.08772873878479
,QTFT,4,1.1082412406597602,0.8009623885154724
,TFT,4,2.3973914235403435,1.7332162857055664
ALL,ARIMA,8,3.7530976535077176,2.491211414337158
ALL,LSTM,8,2.513127574070255,2.2966785430908203
,QTFT,8,1.378907503554339,0.9432489275932312
,TFT,8,2.5476564483970043,1.708934307098389
