quarter,gdp_growth,inflation,unemployment,country,quarter_str
2000-03-31,8.58643201808462,0.347811226864587,3.26,China,2000Q1
2000-06-30,8.58643201808462,0.347811226864587,3.26,China,2000Q2
2000-09-30,8.51798373129227,0.4406398224284688,3.3949999999999996,China,2000Q3
2000-12-31,8.44953544449992,0.5334684179923506,3.53,China,2000Q4
2001-03-31,8.38108715770757,0.6262970135562322,3.665,China,2001Q1
2001-06-30,8.31263887091522,0.719125609120114,3.8,China,2001Q2
2001-09-30,8.545327469782219,0.3563514812525245,3.91,China,2001Q3
2001-12-31,8.778016068649215,-0.006422646615064975,4.02,China,2001Q4
2002-03-31,9.010704667516212,-0.3691967744826544,4.13,China,2002Q1
2002-06-30,9.24339326638321,-0.731970902350244,4.24,China,2002Q2
2002-09-30,9.462093165790332,-0.2670773049385905,4.325,China,2002Q3
2002-12-31,9.680793065197456,0.19781629247306298,4.41,China,2002Q4
2003-03-31,9.899492964604578,0.6627098898847165,4.495,China,2003Q1
2003-06-30,10.1181928640117,1.12760348729637,4.58,China,2003Q2
2003-09-30,10.12149648878385,1.801861973242675,4.5575,China,2003Q3
2003-12-31,10.124800113555999,2.47612045918898,4.535,China,2003Q4
2004-03-31,10.12810373832815,3.150378945135285,4.5125,China,2004Q1
2004-06-30,10.1314073631003,3.82463743108159,4.49,China,2004Q2
2004-09-30,10.463115136091975,3.31258159248012,4.4975000000000005,China,2004Q3
2004-12-31,10.79482290908365,2.80052575387865,4.505,China,2004Q4
2005-03-31,11.126530682075325,2.2884699152771804,4.512499999999999,China,2005Q1
2005-06-30,11.458238455067,1.77641407667571,4.52,China,2005Q2
2005-09-30,11.762347632681125,1.7446683061464325,4.4975,China,2005Q3
2005-12-31,12.06645681029525,1.712922535617155,4.475,China,2005Q4
2006-03-31,12.370565987909375,1.6811767650878775,4.4525,China,2006Q1
2006-06-30,12.6746751655235,1.6494309945586,4.43,China,2006Q2
2006-09-30,13.0435027478208,2.441265164366035,4.41,China,2006Q3
2006-12-31,13.412330330118099,3.2330993341734704,4.39,China,2006Q4
2007-03-31,13.7811579124154,4.024933503980906,4.369999999999999,China,2007Q1
2007-06-30,14.1499854947127,4.81676767378834,4.35,China,2007Q2
2007-09-30,13.030050592541652,5.093888597943986,4.41,China,2007Q3
2007-12-31,11.910115690370606,5.37100952209963,4.47,China,2007Q4
2008-03-31,10.790180788199558,5.648130446255275,4.529999999999999,China,2008Q1
2008-06-30,9.67024588602851,5.92525137041092,4.59,China,2008Q2
2008-09-30,9.603359346466494,4.261897215074965,4.6225,China,2008Q3
2008-12-31,9.536472806904476,2.598543059739011,4.654999999999999,China,2008Q4
2009-03-31,9.469586267342457,0.9351889044030566,4.6875,China,2009Q1
2009-06-30,9.40269972778044,-0.728165250932898,4.72,China,2009Q2
2009-09-30,9.70109278987738,0.24770724997332394,4.672499999999999,China,2009Q3
2009-12-31,9.99948585197432,1.2235797508795458,4.625,China,2009Q4
2010-03-31,10.29787891407126,2.1994522517857673,4.577500000000001,China,2010Q1
2010-06-30,10.5962719761682,3.17532475269199,4.53,China,2010Q2
2010-09-30,10.31253795389455,3.769968295162725,4.535,China,2010Q3
2010-12-31,10.0288039316209,4.3646118376334595,4.54,China,2010Q4
2011-03-31,9.74506990934725,4.959255380104194,4.545,China,2011Q1
2011-06-30,9.4613358870736,5.55389892257493,4.55,China,2011Q2
2011-09-30,9.060045482944169,4.82030527354505,4.5575,China,2011Q3
2011-12-31,8.658755078814735,4.08671162451517,4.5649999999999995,China,2011Q4
2012-03-31,8.257464674685302,3.35311797548529,4.5725,China,2012Q1
2012-06-30,7.85617427055587,2.61952432645541,4.58,China,2012Q2
2012-09-30,7.836811726533695,2.619905749211845,4.585,China,2012Q3
2012-12-31,7.81744918251152,2.62028717196828,4.59,China,2012Q4
2013-03-31,7.798086638489345,2.620668594724715,4.595,China,2013Q1
2013-06-30,7.77872409446717,2.62105001748115,4.6,China,2013Q2
2013-09-30,7.699518141423962,2.4461979200821653,4.6075,China,2013Q3
2013-12-31,7.620312188380755,2.27134582268318,4.615,China,2013Q4
2014-03-31,7.541106235337548,2.096493725284195,4.6225,China,2014Q1
2014-06-30,7.46190028229434,1.92164162788521,4.63,China,2014Q2
2014-09-30,7.3411202183644475,1.800487173253045,4.635,China,2014Q3
2014-12-31,7.220340154434555,1.67933271862088,4.640000000000001,China,2014Q4
2015-03-31,7.099560090504663,1.558178263988715,4.6450000000000005,China,2015Q1
2015-06-30,6.97878002657477,1.43702380935655,4.65,China,2015Q2
2015-09-30,6.92797392702362,1.57776831249727,4.6275,China,2015Q3
2015-12-31,6.87716782747247,1.71851281563799,4.605,China,2015Q4
2016-03-31,6.82636172792132,1.85925731877871,4.5825,China,2016Q1
2016-06-30,6.77555562837017,2.00000182191943,4.56,China,2016Q2
2016-09-30,6.8044833118079024,1.8982853666181625,4.5375,China,2016Q3
2016-12-31,6.833410995245635,1.796568911316895,4.515,China,2016Q4
2017-03-31,6.8623386786833676,1.6948524560156275,4.4925,China,2017Q1
2017-06-30,6.8912663621211,1.59313600071436,4.47,China,2017Q2
2017-09-30,6.857629272007907,1.71354960044971,4.43,China,2017Q3
2017-12-31,6.823992181894715,1.83396320018506,4.39,China,2017Q4
2018-03-31,6.790355091781523,1.9543767999204102,4.35,China,2018Q1
2018-06-30,6.75671800166833,2.07479039965576,4.31,China,2018Q2
2018-09-30,6.58466408888551,2.2809013406373877,4.3725,China,2018Q3
2018-12-31,6.41261017610269,2.487012281619015,4.435,China,2018Q4
2019-03-31,6.24055626331987,2.6931232226006423,4.4975,China,2019Q1
2019-06-30,6.06850235053705,2.89923416358227,4.56,China,2019Q2
2019-09-30,5.136423870598822,2.7792810963311574,4.67,China,2019Q3
2019-12-31,4.2043453906605945,2.659328029080045,4.779999999999999,China,2019Q4
2020-03-31,3.2722669107223674,2.5393749618289325,4.89,China,2020Q1
2020-06-30,2.34018843078414,2.41942189457782,5.0,China,2020Q2
2020-09-30,3.8976626060039097,2.0598202048195855,4.8875,China,2020Q3
2020-12-31,5.455136781223679,1.700218515061351,4.775,China,2020Q4
2021-03-31,7.012610956443449,1.3406168253031165,4.6625,China,2021Q1
2021-06-30,8.57008513166322,0.981015135544882,4.55,China,2021Q2
2021-09-30,7.21111106673684,1.229155241006289,4.6575,China,2021Q3
2021-12-31,5.85213700181046,1.4772953464676961,4.765000000000001,China,2021Q4
2022-03-31,4.4931629368840795,1.725435451929103,4.8725000000000005,China,2022Q1
2022-06-30,3.1341888719577,1.97357555739051,4.98,China,2022Q2
2022-09-30,3.7043524792174622,1.5388908752661452,4.9025,China,2022Q3
2022-12-31,4.274516086477225,1.1042061931417804,4.825,China,2022Q4
2023-03-31,4.844679693736987,0.6695215110174157,4.7475000000000005,China,2023Q1
2023-06-30,5.41484330099675,0.234836828893051,4.67,China,2023Q2
2023-09-30,5.41484330099675,0.234836828893051,4.67,China,2023Q3
2023-12-31,5.41484330099675,0.234836828893051,4.67,China,2023Q4
2000-03-31,2.8765231247659,1.44026838719741,7.917,Germany,2000Q1
2000-06-30,2.8765231247659,1.44026838719741,7.917,Germany,2000Q2
2000-09-30,2.5664277703018152,1.576165618734235,7.881,Germany,2000Q3
2000-12-31,2.25633241583773,1.71206285027106,7.845,Germany,2000Q4
2001-03-31,1.946237061373645,1.847960081807885,7.808999999999999,Germany,2001Q1
2001-06-30,1.63614170690956,1.98385731334471,7.773,Germany,2001Q2
2001-09-30,1.1700423512337608,1.8430945238873475,7.95025,Germany,2001Q3
2001-12-31,0.7039429955579616,1.7023317344299849,8.1275,Germany,2001Q4
